date,temp,feels_like,wind,alerts,humidity,sunrise,sunset
3/18/2023_17:22:48,32°,19°,21 mph,None,61%,7:39 am,7:42 pm
3/18/2023_17:52:50,32°,19°,21 mph,None,55%,7:39 am,7:42 pm
3/18/2023_18:22:53,32°,20°,20 mph,None,50%,7:39 am,7:42 pm
3/18/2023_18:52:55,33°,21°,20 mph,None,47%,7:39 am,7:42 pm
3/18/2023_19:22:56,33°,21°,21 mph,None,45%,7:39 am,7:42 pm
3/18/2023_19:53:00,32°,20°,21 mph,None,45%,7:39 am,7:42 pm
3/18/2023_20:23:01,31°,19°,20 mph,None,46%,7:39 am,7:42 pm
3/18/2023_20:53:02,30°,18°,20 mph,None,47%,7:39 am,7:42 pm
3/18/2023_21:23:05,29°,16°,19 mph,None,48%,7:39 am,7:42 pm
3/18/2023_21:53:07,28°,16°,18 mph,None,49%,7:39 am,7:42 pm
3/18/2023_22:23:09,26°,12°,21 mph,None,54%,7:39 am,7:42 pm
3/18/2023_22:53:17,25°,11°,20 mph,None,55%,7:39 am,7:42 pm
3/18/2023_23:23:19,24°,10°,20 mph,None,55%,7:39 am,7:42 pm
3/18/2023_23:53:21,23°,9°,19 mph,None,58%,7:39 am,7:42 pm
3/19/2023_00:23:22,22°,9°,16 mph,None,61%,7:39 am,7:42 pm
3/19/2023_00:53:24,21°,8°,15 mph,None,63%,7:39 am,7:42 pm
3/19/2023_01:23:26,21°,8°,15 mph,None,61%,7:39 am,7:42 pm
3/19/2023_01:53:27,21°,8°,14 mph,None,59%,7:39 am,7:42 pm
3/19/2023_02:23:30,20°,7°,14 mph,None,59%,7:39 am,7:42 pm
3/19/2023_02:53:31,20°,7°,14 mph,None,60%,7:39 am,7:42 pm
3/19/2023_03:23:34,20°,7°,12 mph,None,63%,7:39 am,7:42 pm
3/19/2023_03:53:36,20°,8°,11 mph,None,63%,7:39 am,7:42 pm
3/19/2023_04:23:38,19°,8°,11 mph,None,67%,7:37 am,7:43 pm
3/19/2023_04:53:39,19°,7°,11 mph,None,69%,7:37 am,7:43 pm
3/19/2023_05:23:41,19°,8°,10 mph,None,72%,7:37 am,7:43 pm
3/19/2023_05:53:42,19°,7°,10 mph,None,74%,7:37 am,7:43 pm
3/19/2023_06:23:44,19°,8°,10 mph,None,71%,7:37 am,7:43 pm
3/19/2023_06:53:45,19°,8°,9 mph,None,73%,7:37 am,7:43 pm
3/19/2023_07:23:47,19°,8°,9 mph,None,72%,7:37 am,7:43 pm
3/19/2023_07:53:49,19°,8°,9 mph,None,72%,7:37 am,7:43 pm
3/19/2023_08:23:50,18°,8°,9 mph,None,76%,7:37 am,7:43 pm
3/19/2023_08:53:51,18°,8°,8 mph,None,77%,7:37 am,7:43 pm
3/19/2023_09:23:53,18°,7°,9 mph,None,76%,7:37 am,7:43 pm
3/19/2023_09:53:55,18°,7°,9 mph,None,76%,7:37 am,7:43 pm
3/19/2023_10:23:57,18°,8°,8 mph,None,77%,7:37 am,7:43 pm
3/19/2023_10:53:58,18°,8°,8 mph,None,77%,7:37 am,7:43 pm
3/19/2023_11:24:00,18°,9°,7 mph,None,77%,7:37 am,7:43 pm
3/19/2023_11:54:02,18°,8°,8 mph,None,79%,7:37 am,7:43 pm
3/19/2023_12:24:04,18°,8°,8 mph,None,79%,7:37 am,7:43 pm
3/19/2023_12:54:05,20°,9°,10 mph,None,74%,7:37 am,7:43 pm
3/19/2023_13:24:07,21°,10°,11 mph,None,72%,7:37 am,7:43 pm
3/19/2023_13:54:09,23°,12°,12 mph,None,69%,7:37 am,7:43 pm
3/19/2023_14:24:10,26°,16°,10 mph,None,65%,7:37 am,7:43 pm
3/19/2023_14:54:12,27°,17°,10 mph,None,63%,7:37 am,7:43 pm
3/19/2023_15:24:13,28°,19°,11 mph,None,59%,7:37 am,7:43 pm
3/19/2023_15:54:15,29°,20°,11 mph,None,57%,7:37 am,7:43 pm
3/19/2023_16:24:16,31°,22°,10 mph,None,52%,7:37 am,7:43 pm
3/19/2023_16:54:18,31°,22°,11 mph,None,50%,7:37 am,7:43 pm
3/19/2023_17:24:20,31°,22°,12 mph,None,45%,7:37 am,7:43 pm
3/19/2023_17:54:21,31°,21°,12 mph,None,45%,7:37 am,7:43 pm
3/19/2023_18:24:23,32°,23°,11 mph,None,44%,7:37 am,7:43 pm
3/19/2023_18:54:24,33°,25°,11 mph,None,44%,7:37 am,7:43 pm
3/19/2023_19:24:26,34°,26°,11 mph,None,40%,7:37 am,7:43 pm
3/19/2023_19:54:28,35°,28°,11 mph,None,38%,7:37 am,7:43 pm
3/19/2023_20:24:29,37°,29°,11 mph,None,36%,7:37 am,7:43 pm
3/19/2023_20:54:31,37°,30°,10 mph,None,35%,7:37 am,7:43 pm
3/19/2023_21:24:32,37°,29°,11 mph,None,35%,7:37 am,7:43 pm
3/19/2023_21:54:34,37°,30°,11 mph,None,35%,7:37 am,7:43 pm
3/19/2023_22:24:36,37°,29°,12 mph,None,35%,7:37 am,7:43 pm
3/19/2023_22:54:37,36°,28°,11 mph,None,37%,7:37 am,7:43 pm
3/19/2023_23:24:39,35°,28°,9 mph,None,38%,7:37 am,7:43 pm
3/19/2023_23:54:40,34°,27°,8 mph,None,41%,7:37 am,7:43 pm
3/20/2023_00:24:42,32°,26°,7 mph,None,46%,7:37 am,7:43 pm
3/20/2023_00:54:44,31°,24°,7 mph,None,50%,7:37 am,7:43 pm
3/20/2023_01:24:46,30°,25°,5 mph,None,50%,7:37 am,7:43 pm
3/20/2023_01:54:48,29°,24°,5 mph,None,53%,7:37 am,7:43 pm
3/20/2023_02:24:50,29°,23°,5 mph,None,55%,7:37 am,7:43 pm
3/20/2023_02:54:52,28°,23°,5 mph,None,57%,7:37 am,7:43 pm
3/20/2023_03:24:53,28°,23°,5 mph,None,58%,7:37 am,7:43 pm
3/20/2023_03:54:55,27°,21°,5 mph,None,61%,7:37 am,7:43 pm
